tier,id,name,brand,subBrand,firmnessScore,firmnessLabel,price,quizTags,displayBadges,highlight,locally-made,features,reason_cooling,reason_pressureRelief,reason_motionIsolation,reason_support,reason_plush,reason_medium,reason_firm,reason_durability,reason_default
silver,s4,Copper Hybrid Smooth Top Medium,Spring Air,Copper by Spring Air,5,Medium,,Hybrid|Copper|Cooling,Hybrid|Copper|Cooling,"Infused with natural copper to draw heat away, soothe pressure points, and help reduce inflammation, Copper by Spring Air delivers cooler, deeper, more restorative sleep",yes,medium|cooling|pressure-relief|hybrid|motion-isolation|copper|anti-viral|anti-bacterial|anti-microbial|anti-inflammatory|memory|hypoallergenic,NatuVerex copper infusion draws heat away,Copper Memory Foam and Hyper-Gel Foam,Pocketed coils minimize partner disturbance,"Five-zone, 948 coil-count pocketed coils",,Perfect medium feel for most sleepers,,Premium foams and premium spring,"Infused with natural copper to draw heat away, soothe pressure points, and help reduce inflammation, Copper by Spring Air delivers cooler, deeper, more restorative sleep"
silver,s5,Copper Flex Head Smooth Top Medium,Spring Air,Copper by Spring Air,5,Medium,,Hybrid|Copper|Cooling,Hybrid|Copper|Cooling,"Infused with natural copper to draw heat away, soothe pressure points, and help reduce inflammation, Copper by Spring Air delivers cooler, deeper, more restorative sleep",yes,medium|cooling|pressure-relief|hybrid|motion-isolation|copper|anti-viral|anti-bacterial|anti-microbial|anti-inflammatory|memory|hypoallergenic,NatuVerex copper infusion draws heat away,Copper Memory Foam and Hyper-Gel Foam,Pocketed coils minimize partner disturbance,"Five-zone, 948 coil-count pocketed coils",,Perfect medium feel for most sleepers,,Premium foams and premium spring,"Infused with natural copper to draw heat away, soothe pressure points, and help reduce inflammation, Copper by Spring Air delivers cooler, deeper, more restorative sleep"
silver,s6,Marie BT Plush,Spring Air,Fleur de Lis,2,Plush,,Hybrid|Latex|Hand-Tufted|Back Supporter,Hybrid|Latex|Back Supporter,"Timeless elegance meets modern sleep science — Fleur de Lis by Spring Air pairs hand-tufted craftsmanship and luxurious comfort layers with precision coil support for indulgent, restorative sleep",yes,plush|cooling|hand-tufting|latex|pressure-relief|back-supporter-technology|hybrid|motion-isolation|quality|soft|zoned|durability|hypoallergenic|memory,"Cool, silk and wool damask cover helps regulate temperature",Full layers of Serene Foam and Cool-Gel Memory Foam,Pocketed coils minimize partner disturbance,"Hand-tufted, Back Supporter dual gauge spring - firmer center coils for lumbar support","Welcoming, soft plush feel for side sleepers",,,Hand-tufted,"Timeless elegance meets modern sleep science — Fleur de Lis by Spring Air pairs hand-tufted craftsmanship and luxurious comfort layers with precision coil support for indulgent, restorative sleep"
silver,s7,Marie BT Firm,Spring Air,Fleur de Lis,5,Medium,,Hybrid|Latex|Hand-Tufted|Back Supporter,Hybrid|Latex|Back Supporter,"Timeless elegance meets modern sleep science — Fleur de Lis by Spring Air pairs hand-tufted craftsmanship and luxurious comfort layers with precision coil support for indulgent, restorative sleep",yes,medium|cooling|hand-tufting|latex|pressure-relief|back-supporter-technology|hybrid|motion-isolation|quality|zoned|durability|hypoallergenic|memory,"Cool, silk and wool damask cover helps regulate temperature",Full layers of Serene Foam and Cool-Gel Memory Foam,Pocketed coils minimize partner disturbance,"Hand-tufted, Back Supporter dual gauge spring - firmer center coils for lumbar support",,Perfect medium feel for most sleepers,,Hand-tufted,"Timeless elegance meets modern sleep science — Fleur de Lis by Spring Air pairs hand-tufted craftsmanship and luxurious comfort layers with precision coil support for indulgent, restorative sleep"
silver,s8,Marie Firm,Spring Air,Fleur de Lis,9,Firm,,Hybrid|Latex|Hand-Tufted|Back Supporter,Hybrid|Latex|Back Supporter,"Timeless elegance meets modern sleep science — Fleur de Lis by Spring Air pairs hand-tufted craftsmanship and luxurious comfort layers with precision coil support for indulgent, restorative sleep",yes,firm|cooling|hand-tufting|latex|pressure-relief|back-supporter-technology|hybrid|motion-isolation|quality|zoned|durability|hypoallergenic|memory,"Cool, silk and wool damask cover helps regulate temperature",Full layers of Serene Foam and Cool-Gel Memory Foam,Pocketed coils minimize partner disturbance,"Hand-tufted, Back Supporter dual gauge spring - firmer center coils for lumbar support",,,Extra firm for stomach sleepers and larger builds,Hand-tufted,"Timeless elegance meets modern sleep science — Fleur de Lis by Spring Air pairs hand-tufted craftsmanship and luxurious comfort layers with precision coil support for indulgent, restorative sleep"
silver,s9,Makayla Plush,Spring Air,Back Supporter Hybrid,2,Plush,,Hybrid|Back Supporter|Cooling,Hybrid|Cooling|Back Supporter,"Experience 90+ years of back-support innovation — the Makayla Back Supporter Hybrid pairs zoned coil technology with premium hybrid comfort for proper alignment, pressure relief, and deeper, more restorative sleep",yes,medium|cooling|serene-foam|gel-memory-foam|motion-isolation|back-supporter-technology|quality|comfort|hybrid|soft|zoned|durability|memory,Maximum cooling phase-change cover,Hyper Soft Memory Foam + Serene Foam + Gel Memory Foam for exceptional pressure relief,Pocketed coils minimize partner disturbance,Back Supporter dual gauge spring - firmer center coils for lumbar support,True cloud-like plush feel for side sleepers,,,,"Experience 90+ years of back-support innovation — the Makayla Back Supporter Hybrid pairs zoned coil technology with premium hybrid comfort for proper alignment, pressure relief, and deeper, more restorative sleep"
silver,s10,Makayla Firm,Spring Air,Back Supporter Hybrid,8,Firm,,Hybrid|Back Supporter|Cooling,Hybrid|Cooling|Back Supporter,"Experience 90+ years of back-support innovation — the Makayla Back Supporter Hybrid pairs zoned coil technology with premium hybrid comfort for proper alignment, pressure relief, and deeper, more restorative sleep",yes,medium|cooling|serene-foam|gel-memory-foam|motion-isolation|back-supporter-technology|quality|comfort|foam-encasement|hybrid|zoned|durability|memory,Maximum cooling phase-change cover,Hyper Soft Memory Foam + Serene Foam + Gel Memory Foam for pressure relief,Pocketed coils minimize partner disturbance,Back Supporter dual gauge spring - firmer center coils for lumbar support,,,Extra firm for stomach sleepers and larger builds,,"Experience 90+ years of back-support innovation — the Makayla Back Supporter Hybrid pairs zoned coil technology with premium hybrid comfort for proper alignment, pressure relief, and deeper, more restorative sleep"
bronze,b1,Kent Euro Top Plush,Spring Air,Back Supporter Hybrid,2,Plush,,Hybrid|Back Supporter|Cooling,Hybrid|Cooling|PCM Cover,"90+ years of back-support innovation — the Kent pairs zoned coils with premium hybrid comfort for alignment, pressure relief, and deeper sleep",yes,plush|cooling|gel-memory-foam|motion-isolation|quality|comfort|hybrid|foam-encasement|soft|zoned|durability|memory,Phase Change Material cover actively cools the surface,Gel Memory Foam reduces pressure + comfort foam layers,Pocketed coils minimize partner disturbance,Back Supporter dual gauge spring - firmer center coils for lumbar support,"Supportive yet soft, plush feel for side sleepers",,,,"90+ years of back-support innovation — the Kent pairs zoned coils with premium hybrid comfort for alignment, pressure relief, and deeper sleep"
bronze,b2,Kent Medium,Spring Air,Back Supporter Hybrid,5,Medium,,Hybrid|Back Supporter|Cooling,Hybrid|Cooling|PCM Cover,"90+ years of back-support innovation — the Kent pairs zoned coils with premium hybrid comfort for alignment, pressure relief, and deeper sleep",yes,medium|cooling|gel-memory-foam|motion-isolation|quality|comfort|hybrid|foam-encasement|zoned|durability|memory,Phase Change Material cover actively cools the surface,Gel Memory Foam reduces pressure + comfort foam layers,Pocketed coils minimize partner disturbance,Back Supporter dual gauge spring - firmer center coils for lumbar support,,Perfect medium feel for most sleepers,,,"90+ years of back-support innovation — the Kent pairs zoned coils with premium hybrid comfort for alignment, pressure relief, and deeper sleep"
bronze,b3,Kent Extra Firm,Spring Air,Back Supporter Hybrid,9,Firm,,Hybrid|Back Supporter|Cooling,Hybrid|Cooling|PCM Cover,"90+ years of back-support innovation — the Kent pairs zoned coils with premium hybrid comfort for alignment, pressure relief, and deeper sleep",yes,firm|cooling|gel-memory-foam|motion-isolation|quality|comfort|hybrid|foam-encasement|zoned|durability|memory,Phase Change Material cover actively cools the surface,Gel Memory Foam reduces pressure + comfort foam layers,Pocketed coils minimize partner disturbance,Back Supporter dual gauge spring - firmer center coils for lumbar support,,,Extra firm for stomach sleepers and larger builds,,"90+ years of back-support innovation — the Kent pairs zoned coils with premium hybrid comfort for alignment, pressure relief, and deeper sleep"
bronze,b4,Phoenix Medium,Spring Air,Back Supporter Hybrid,4,Medium-Plush,,Hybrid|Zoned Support|Cooling,Hybrid|Cooling|Zoned Support,Cool gel foam with zoned coils for spinal alignment,yes,plush|cooling|gel-infused-foam|motion-isolation|quality|comfort|hybrid|foam-encasement|zoned,Luxurious cooling cover wicks moisture and heat,Cool gel foam contours to body for pressure relief,Pocketed coils minimize partner disturbance,Marvelous Middle gives 25% more center support,,Perfect medium-plush feel for most sleepers,,,"Cool gel foam, zoned wrapped coils, targeted support and spinal alignment"
bronze,b5,Phoenix Firm,Spring Air,Back Supporter Hybrid,10,Firm,,Hybrid|Zoned Support|Cooling,Hybrid|Cooling|Zoned Support,Cool gel foam with zoned coils for spinal alignment,yes,firm|cooling|gel-infused-foam|motion-isolation|quality|comfort|hybrid|foam-encasement|zoned,Luxurious cooling cover wicks moisture and heat,Cool gel foam contours to body for pressure relief,Pocketed coils minimize partner disturbance,Marvelous Middle gives 25% more center support,,,Extra firm feel for back and stomach sleepers,,"Cool gel foam, zoned wrapped coils, targeted support and spinal alignment"
bronze,b6,Auburn Ice Extra Firm,Spring Air,Back Supporter,9,Firm,,Innerspring|Back Supporter,Innerspring|Back Supporter,Supportive innerspring with cool foam and lumbar zoning,yes,firm|comfort|support|innerspring|foam-encasement|zoned,,,Back Supporter dual gauge spring - firmer center coils for lumbar support,,Perfect medium-plush feel for most sleepers,,,,Quality innerspring mattress with targeted center support and spinal alignment
bronze,b7,Auburn Ice,Spring Air,Back Supporter,4,Medium-Plush,,Innerspring|Back Supporter,Innerspring|Back Supporter,Supportive innerspring with cool foam and lumbar zoning,yes,medium|comfort|support|innerspring|foam-encasement|zoned,,,Back Supporter dual gauge spring - firmer center coils for lumbar support,,Perfect medium-plush feel for most sleepers,,,,Quality innerspring mattress with targeted center support and spinal alignment
