id,displayBadges,highlight,reason_cooling,reason_pressureRelief,reason_motionIsolation,reason_support,reason_plush,reason_medium,reason_firm,reason_durability,reason_default
s4,Híbrido|Cobre|Enfriamiento,"Infundido con cobre natural para disipar el calor, aliviar puntos de presión y reducir la inflamación, Copper by Spring Air ofrece un sueño más fresco, profundo y reparador",La infusión de cobre NatuVerex disipa el calor,Espuma de Memoria con Cobre y Espuma Hyper-Gel,Resortes encapsulados minimizan la perturbación de la pareja,"Resortes encapsulados de cinco zonas, 948 unidades",,Sensación media perfecta para la mayoría,,Espumas y resortes premium,"Infundido con cobre natural para disipar el calor, aliviar puntos de presión y reducir la inflamación, Copper by Spring Air ofrece un sueño más fresco, profundo y reparador"
s5,Híbrido|Cobre|Enfriamiento,"Infundido con cobre natural para disipar el calor, aliviar puntos de presión y reducir la inflamación, Copper by Spring Air ofrece un sueño más fresco, profundo y reparador",La infusión de cobre NatuVerex disipa el calor,Espuma de Memoria con Cobre y Espuma Hyper-Gel,Resortes encapsulados minimizan la perturbación de la pareja,"Resortes encapsulados de cinco zonas, 948 unidades",,Sensación media perfecta para la mayoría,,Espumas y resortes premium,"Infundido con cobre natural para disipar el calor, aliviar puntos de presión y reducir la inflamación, Copper by Spring Air ofrece un sueño más fresco, profundo y reparador"
s6,Híbrido|Látex|Back Supporter,"Elegancia atemporal y ciencia del sueño moderna — Fleur de Lis by Spring Air combina artesanía cosida a mano y lujosas capas de confort con soporte de resortes de precisión para un descanso indulgente y reparador","Cubierta de damasco de seda y lana fresca ayuda a regular la temperatura",Capas completas de Serene Foam y Cool-Gel Memory Foam,Resortes encapsulados minimizan la perturbación de la pareja,"Cosido a mano, resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar",Sensación suave y acogedora para quienes duermen de lado,,,Cosido a mano,"Elegancia atemporal y ciencia del sueño moderna — Fleur de Lis by Spring Air combina artesanía cosida a mano y lujosas capas de confort con soporte de resortes de precisión para un descanso indulgente y reparador"
s7,Híbrido|Látex|Back Supporter,"Elegancia atemporal y ciencia del sueño moderna — Fleur de Lis by Spring Air combina artesanía cosida a mano y lujosas capas de confort con soporte de resortes de precisión para un descanso indulgente y reparador","Cubierta de damasco de seda y lana fresca ayuda a regular la temperatura",Capas completas de Serene Foam y Cool-Gel Memory Foam,Resortes encapsulados minimizan la perturbación de la pareja,"Cosido a mano, resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar",,Sensación media perfecta para la mayoría,,Cosido a mano,"Elegancia atemporal y ciencia del sueño moderna — Fleur de Lis by Spring Air combina artesanía cosida a mano y lujosas capas de confort con soporte de resortes de precisión para un descanso indulgente y reparador"
s8,Híbrido|Látex|Back Supporter,"Elegancia atemporal y ciencia del sueño moderna — Fleur de Lis by Spring Air combina artesanía cosida a mano y lujosas capas de confort con soporte de resortes de precisión para un descanso indulgente y reparador","Cubierta de damasco de seda y lana fresca ayuda a regular la temperatura",Capas completas de Serene Foam y Cool-Gel Memory Foam,Resortes encapsulados minimizan la perturbación de la pareja,"Cosido a mano, resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar",,,Extra firme para quienes duermen boca abajo y personas de mayor contextura,Cosido a mano,"Elegancia atemporal y ciencia del sueño moderna — Fleur de Lis by Spring Air combina artesanía cosida a mano y lujosas capas de confort con soporte de resortes de precisión para un descanso indulgente y reparador"
s9,Híbrido|Enfriamiento|Back Supporter,"Experimenta más de 90 años de innovación en soporte de espalda — la Makayla Back Supporter Hybrid combina tecnología de resortes por zonas con comodidad híbrida premium para lograr una alineación adecuada, alivio de presión y un sueño más profundo y reparador",Cubierta de cambio de fase con máximo enfriamiento,Hyper Soft Memory Foam + Serene Foam + Gel Memory Foam para un alivio de presión excepcional,Resortes encapsulados minimizan la perturbación de la pareja,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,Verdadera sensación suave como una nube para quienes duermen de lado,,,,"Experimenta más de 90 años de innovación en soporte de espalda — la Makayla Back Supporter Hybrid combina tecnología de resortes por zonas con comodidad híbrida premium para lograr una alineación adecuada, alivio de presión y un sueño más profundo y reparador"
s10,Híbrido|Enfriamiento|Back Supporter,"Experimenta más de 90 años de innovación en soporte de espalda — la Makayla Back Supporter Hybrid combina tecnología de resortes por zonas con comodidad híbrida premium para lograr una alineación adecuada, alivio de presión y un sueño más profundo y reparador",Cubierta de cambio de fase con máximo enfriamiento,Hyper Soft Memory Foam + Serene Foam + Gel Memory Foam para alivio de presión,Resortes encapsulados minimizan la perturbación de la pareja,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,,,Extra firme para quienes duermen boca abajo y personas de mayor contextura,,"Experimenta más de 90 años de innovación en soporte de espalda — la Makayla Back Supporter Hybrid combina tecnología de resortes por zonas con comodidad híbrida premium para lograr una alineación adecuada, alivio de presión y un sueño más profundo y reparador"
b1,Híbrido|Enfriamiento|Cubierta PCM,"Más de 90 años de innovación en soporte de espalda — la Kent combina resortes por zonas con comodidad híbrida premium para alineación, alivio de presión y un sueño más profundo",Cubierta de Material de Cambio de Fase enfría activamente la superficie,Gel Memory Foam reduce la presión + capas de espuma de confort,Resortes encapsulados minimizan la perturbación de la pareja,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,"Sensación suave y acogedora pero con soporte para quienes duermen de lado",,,,"Más de 90 años de innovación en soporte de espalda — la Kent combina resortes por zonas con comodidad híbrida premium para alineación, alivio de presión y un sueño más profundo"
b2,Híbrido|Enfriamiento|Cubierta PCM,"Más de 90 años de innovación en soporte de espalda — la Kent combina resortes por zonas con comodidad híbrida premium para alineación, alivio de presión y un sueño más profundo",Cubierta de Material de Cambio de Fase enfría activamente la superficie,Gel Memory Foam reduce la presión + capas de espuma de confort,Resortes encapsulados minimizan la perturbación de la pareja,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,,Sensación media perfecta para la mayoría,,,"Más de 90 años de innovación en soporte de espalda — la Kent combina resortes por zonas con comodidad híbrida premium para alineación, alivio de presión y un sueño más profundo"
b3,Híbrido|Enfriamiento|Cubierta PCM,"Más de 90 años de innovación en soporte de espalda — la Kent combina resortes por zonas con comodidad híbrida premium para alineación, alivio de presión y un sueño más profundo",Cubierta de Material de Cambio de Fase enfría activamente la superficie,Gel Memory Foam reduce la presión + capas de espuma de confort,Resortes encapsulados minimizan la perturbación de la pareja,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,,,Extra firme para quienes duermen boca abajo y personas de mayor contextura,,"Más de 90 años de innovación en soporte de espalda — la Kent combina resortes por zonas con comodidad híbrida premium para alineación, alivio de presión y un sueño más profundo"
b4,Híbrido|Enfriamiento|Soporte por Zonas,Espuma de gel refrescante con resortes por zonas para alineación espinal,Cubierta lujosa refrescante disipa humedad y calor,Espuma de gel refrescante se adapta al cuerpo para alivio de presión,Resortes encapsulados minimizan la perturbación de la pareja,Marvelous Middle brinda 25% más soporte central,,Sensación media-suave perfecta para la mayoría,,,"Espuma de gel refrescante, resortes encapsulados por zonas, soporte focalizado y alineación espinal"
b5,Híbrido|Enfriamiento|Soporte por Zonas,Espuma de gel refrescante con resortes por zonas para alineación espinal,Cubierta lujosa refrescante disipa humedad y calor,Espuma de gel refrescante se adapta al cuerpo para alivio de presión,Resortes encapsulados minimizan la perturbación de la pareja,Marvelous Middle brinda 25% más soporte central,,,Extra firme para quienes duermen boca arriba o boca abajo,,"Espuma de gel refrescante, resortes encapsulados por zonas, soporte focalizado y alineación espinal"
b6,Resortes|Back Supporter,Resortes tradicionales de soporte con espuma refrescante y zona lumbar,,,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,,Sensación media-suave perfecta para la mayoría,,,,Colchón de resortes de calidad con soporte central focalizado y alineación espinal
b7,Resortes|Back Supporter,Resortes tradicionales de soporte con espuma refrescante y zona lumbar,,,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,,Sensación media-suave perfecta para la mayoría,,,,Colchón de resortes de calidad con soporte central focalizado y alineación espinal
